ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-121-29605-5	"系统辨识== System identification / (瑞典) Torsten S?derstr?m, (瑞典) Petre Stoica著; 陈曦, 姜月萍, 牟必强译 eng"	"北京: 电子工业出版社, 2017"	TN94/105	第二书库（六教一楼）	
978-7-111-56650-2	数字视频和高清: 算法和接口 / (加) 查尔斯·波因顿著== Digital video and HD: algorithms and interfaces / Charles Poynton; 刘开华 ... 等译 eng	"北京: 机械工业出版社, 2017"	TN941.3/12	第二书库（六教一楼）	
978-7-122-29487-6	彩色图解液晶电视机维修技能速成 / 韩雪涛主编	"北京: 化学工业出版社, 2017"	TN949.192/31	第二书库（六教一楼）	
978-7-121-32569-4	"人机对话系统 / 曹均阔, 陈国莲著"	"北京: 电子工业出版社, 2017"	TP11/37	第二书库（六教一楼）	
978-7-111-56438-6	"用户至上== Understanding your users: 用户研究方法与实践 / (美) 凯茜·巴克斯特, (美) 凯瑟琳·卡里奇, (美) 凯莉·凯恩著; 王兰 ... [等] 译 eng"	"北京: 机械工业出版社, 2017"	TP11/38	第二书库（六教一楼）	
978-7-115-45136-1	"用户体验设计==Experience required: 本质、策略与经验 / Robert Hoekman Jr.著; 阿布, 刘杰译 eng"	"北京: 人民邮电出版社, 2017"	TP11/39	第二书库（六教一楼）	
978-7-115-46637-2	交互的未来: 物联网时代设计原则== Calm technology: principles and patterns for non-intrusive design / (美) Amber Case著; 蒋文干 ... [等] 译 eng	"北京: 人民邮电出版社, 2017"	TP11/40	第二书库（六教一楼）	
978-7-5198-0197-7	自动控制理论 / 主编陈青	"北京: 中国电力出版社, 2017"	TP13/139	第二书库（六教一楼）	
978-7-111-57457-6	"白话深度学习与TensorFlow / 高扬, 卫峥编著"	"北京: 机械工业出版社, 2017"	TP18/96	第二书库（六教一楼）	
978-7-115-46237-4	人工智能改变世界: 工业4.0时代的商业新引擎 / 陈炳祥著	"北京: 人民邮电出版社, 2017"	TP18/97	第二书库（六教一楼）	
978-7-111-57500-9	"机器智能== Machine intelligence: 人工情感 / 解仑, 王志良编著 eng"	"北京: 机械工业出版社, 2017"	TP18/98	第二书库（六教一楼）	
978-7-111-57440-8	经济奇点: 人工智能时代，我们将如何谋生？ / (英) 卡鲁姆·蔡斯著; 任小红译	"北京: 机械工业出版社, 2017"	TP18/99	第二书库（六教一楼）	
978-7-115-45240-5	机器学习与数据科学: 基于R的统计学习方法 / (美) Daniel D·Gutierrez著; 施翊译	"北京: 人民邮电出版社, 2017"	TP181/18	第二书库（六教一楼）	
978-7-115-46041-7	机器学习实践应用 / 李博著	"北京: 人民邮电出版社, 2017"	TP181/19	第二书库（六教一楼）	
978-7-115-45848-3	"Microsoft Azure机器学习和预测分析== Predictive analytics with Microsoft Azure machine learning / (美) Roger Barga, Valentine Fontama, (新加坡) Wee Hyong Tok著 eng"	"北京: 人民邮电出版社, 2017"	TP181/20	第二书库（六教一楼）	
978-7-115-45852-0	机器学习Web应用== Machine learning for the Web / (意) Andrea Isoni著; 杜春晓译 eng	"北京: 人民邮电出版社, 2017"	TP181/21	第二书库（六教一楼）	
978-7-121-32160-3	"机器学习之路: Caffe、Keras、scikit-learn实战 / 阿布, 胥嘉幸编著"	"北京: 电子工业出版社, 2017"	TP181/22	第二书库（六教一楼）	
978-7-111-56960-2	"多智能体机器学习: 强化学习方法 / (加) 霍华德 M. 施瓦兹著; 连晓峰, 谭励 ... [等]译"	"北京: 机械工业出版社, 2017"	TP181/23	第二书库（六教一楼）	
978-7-111-56922-0	"实用机器学习== Real-world machine learning / (美) 亨里克·布林克, (美) 约瑟夫 W. 理查兹, (美) 马克·弗特罗夫著; 程继洪, 孙玉梅, 潘佩佩译 eng"	"北京: 机械工业出版社, 2017"	TP181/24	第二书库（六教一楼）	
978-7-118-11171-2	"图像处理与脉冲耦合神经网络: 基于Python的实现 / (美) 托马斯·林德布拉德, 詹森·金赛著== Image processing using pulse-coupled neural networks: applications in Python / Thomas Lindblad, Jason M. Kinser; 徐光柱, 马义德, 雷帮军译 eng"	"北京: 国防工业出版社, 2017"	TP183/26	第二书库（六教一楼）	
978-7-115-46093-6	"神经网络算法与实现: 基于Java语言 / (巴西) Fábio M. Soares, Alan M.F. Souza著; 范东来, 封强译"	"北京: 人民邮电出版社, 2017"	TP183/27	第二书库（六教一楼）	
978-7-115-46201-5	自己动手写神经网络 / 葛一鸣著	"北京: 人民邮电出版社, 2017"	TP183/28	第二书库（六教一楼）	
978-7-111-55944-3	"人工神经网络理论及应用 / 韩力群, 施彦编著"	"北京: 机械工业出版社, 2017"	TP183/29	第二书库（六教一楼）	
978-7-03-052537-6	无线传感器网络路由协议及应用 / 龚本灿，汪祥莉，任顺著	"北京: 科学出版社, 2017"	TP212/183	第二书库（六教一楼）	
978-7-5606-4415-8	"无线传感器网络 / 主编冯涛, 郭显"	"西安: 西安电子科技大学出版社, 2017"	TP212/184	第二书库（六教一楼）	
978-7-5170-5594-5	"传感器与信号处理电路 / 主编高立艾, 纪建伟"	"北京: 中国水利水电出版社, 2017"	TP212/185	第二书库（六教一楼）	
978-7-5685-0760-8	"传感器原理及应用 / 主编邓长辉, 李宝营"	"大连: 大连理工大学出版社, 2017"	TP212/186	第二书库（六教一楼）	
978-7-121-31592-3	"智能仪器技术 / 主编付华, 王雨虹, 刘伟玲"	"北京: 电子工业出版社, 2017"	TP216/44	第二书库（六教一楼）	
978-7-111-57413-2	"智能仪器 / 程德福, 林君主编"	"北京: 机械工业出版社, 2017"	TP216/45	第二书库（六教一楼）	
978-7-115-44983-2	机器人学经典教程 / (美) Maja J. Matari?著; 李华峰译	"北京: 人民邮电出版社, 2017"	TP24/27	第二书库（六教一楼）	
978-7-115-46565-8	工业机器人实用技术150问 / 黄风编著	"北京: 人民邮电出版社, 2017"	TP242.2/35	第二书库（六教一楼）	
978-7-122-29831-7	工业机器人结构及维护== Structure and maintenance of industrial robot / 龚仲华编著 eng	"北京: 化学工业出版社, 2017"	TP242.2/36	第二书库（六教一楼）	
978-7-122-29807-2	工业机器人工作站系统集成与应用 / 韩鸿鸾编著	"北京: 化学工业出版社, 2017"	TP242.2/37	第二书库（六教一楼）	
978-7-122-30386-8	"工业机器人现场编程与调试 / 韩鸿鸾, 蔡艳辉, 卢超主编"	"北京: 化学工业出版社, 2017"	TP242.2/38	第二书库（六教一楼）	
978-7-5682-4352-0	"工业机器人视觉技术 / 主编黄东, 雷翔霄"	"北京: 北京理工大学出版社, 2017"	TP242.2/39	第二书库（六教一楼）	
978-7-122-29677-1	"工业机器人系统安装调试与维护 / 韩鸿鸾, 丛培兰, 谷青松主编"	"北京: 化学工业出版社, 2017"	TP242.2/40	第二书库（六教一楼）	
978-7-115-46071-4	智能小车机器人制作大全: 21个精彩案例等着你 / 《无线电》编辑部编	"北京: 人民邮电出版社, 2017"	TP242.6/25	第二书库（六教一楼）	
978-7-5603-6116-1	仿人智能机器人基础教程== Basic course in humanoid intelligent robot / 主编姜声华 eng	"哈尔滨: 哈尔滨工业大学出版社, 2017"	TP242.6/26	第二书库（六教一楼）	
978-7-115-46072-1	智能机器人制作完全手册 20个精彩案例等着你 / 《无线电》编辑部编	"北京: 人民邮电出版社, 2017"	TP242.6/27	第二书库（六教一楼）	
978-7-115-45159-0	机器人制作初学指南== Robot building for beginners / (美) David Cook著; 臧海波译 eng	"北京: 人民邮电出版社, 2017"	TP242/110	第二书库（六教一楼）	
978-7-111-57208-4	"双足步行机器人== Biped walking robot / 解仑, 王志良, 李敏嘉编著 eng"	"北京: 机械工业出版社, 2017"	TP242/111	第二书库（六教一楼）	
978-7-111-57846-8	"ROS机器人高效编程== Effective robotics programming with ROS / (西) 阿尼尔·马哈塔尼 ... [等] 著; 张瑞雷, 刘锦涛译 eng"	"北京: 机械工业出版社, 2017"	TP242/112	第二书库（六教一楼）	
978-7-118-11341-9	"模糊控制 / 范军芳, 王伟, 许晓飞, 高可编著"	"北京: 国防工业出版社, 2017"	TP273/295	第二书库（六教一楼）	
978-7-5198-0917-1	计算机控制技术与系统 / 主编冯江涛	"北京: 中国电力出版社, 2017"	TP273/296	第二书库（六教一楼）	
978-7-111-57356-2	"数字控制系统分析与设计== Digital control system analysis & design / (美) 查尔斯 L. 菲利普斯, H. 特洛伊·内格尔, 阿兰尼亚·查克拉博蒂著; 王萍 ... [等]译 eng"	"北京: 机械工业出版社, 2017"	TP273/297	第二书库（六教一楼）	
978-7-111-56002-9	预测控制的理论与方法 / 丁宝苍著	"北京: 机械工业出版社, 2017"	TP273/298	第二书库（六教一楼）	
978-7-115-46441-5	R图形化数据分析== Graphing data with R / (美) John Jay Hilfiger著; 王洋洋译 eng	"北京: 人民邮电出版社, 2017"	TP274/235	第二书库（六教一楼）	
978-7-121-30883-3	"数据天才== Developing analytic talent: 数据科学家修炼之道 / (美) Vincent Granville著; 吴博, 张晓峰, 季春霖译 eng"	"北京: 电子工业出版社, 2017"	TP274/236	第二书库（六教一楼）	
978-7-302-47971-0	"云计算环境下Spark大数据处理技术与实践 / 邓立国, 佟强著"	"北京: 清华大学出版社, 2017"	TP274/237	第二书库（六教一楼）	
978-7-115-45689-2	大数据分析师权威教程== Official study kit for wrox certified big data analyst program: 机器学习、大数据分析和可视化 / Wrox国际IT认证项目组编; 姚军译 eng	"北京: 人民邮电出版社, 2017"	TP274/238	第二书库（六教一楼）	
978-7-121-31164-2	"Mesos实战== Mesos in action / (美) Roger Ignazio著; 余何, 陈秋浩, 杨永帮译 eng"	"北京: 电子工业出版社, 2017"	TP274/239	第二书库（六教一楼）	
978-7-121-31722-4	"流式架构: Kafka与MapR Streams数据流处理== Streaming architecture: new designs using apache Kafka and MapR Streams / (美) Ted Dunning, Ellen Friedman著; 唐李洋译 eng"	"北京: 电子工业出版社, 2017"	TP274/240	第二书库（六教一楼）	
978-7-121-31903-7	Spark大数据分析技术与实战 / 经管之家主编; 董轶群 ... [等] 编著	"北京: 电子工业出版社, 2017"	TP274/241	第二书库（六教一楼）	
978-7-111-56667-0	数据分析实战== Data analysis practice based on EXCEL and series of SPSS tools: 基于EXCEL和SPSS系列工具的实践 / 纪贺元著 eng	"北京: 机械工业出版社, 2017"	TP274/242	第二书库（六教一楼）	
978-7-115-46526-9	"大数据元启发式算法教程== Metaheuristics for big data / (法) Clarisse Dhaenens, Laetitia Jourdan; 康宁, 宫鑫, 刘婷婷译 eng"	"北京: 人民邮电出版社, 2017"	TP274/243	第二书库（六教一楼）	
978-7-04-047764-1	大数据计算理论基础: 并行和交互式计算 / 陈国良主编; 毛睿 ... [等] 编著	"北京: 高等教育出版社, 2017"	TP274/244	第二书库（六教一楼）	
978-7-115-45453-9	"数据分析实战 / (日) 酒卷隆治, 里洋平著; 肖峰译"	"北京: 人民邮电出版社, 2017"	TP274/245	第二书库（六教一楼）	
978-7-111-56941-1	Spark与Hadoop大数据分析 / (美) 文卡特·安卡姆著== Big data analytics / Venkat Ankam; 吴今朝译 eng	"北京: 机械工业出版社, 2017"	TP274/246	第二书库（六教一楼）	
978-7-111-57578-8	"大数据、小数据、无数据: 网络世界的数据学术 / (美) 克莉丝汀 L. 伯格曼著== Big data, little data, no data: scholarship in the networked world / Christine L. Borgman; 孟小峰, 张祎, 赵尔平译 eng"	"北京: 机械工业出版社, 2017"	TP274/247	第二书库（六教一楼）	
978-7-111-55986-3	"大数据集成== Big data integration / (美) 董欣, (美) 戴夫士·斯里瓦斯塔瓦著; 王秋月, 杜治娟, 王硕译 eng"	"北京: 机械工业出版社, 2017"	TP274/248	第二书库（六教一楼）	
978-7-111-56124-8	自动检测技术 / 主编赖申江	"北京: 机械工业出版社, 2017"	TP274/249	第二书库（六教一楼）	
978-7-5491-1605-8	从1到π: 大数据与治理现代化 / 蓝天编著	"广州: 南方日报出版社, 2017"	TP274/250	第二书库（六教一楼）	
978-7-118-11160-6	"大数据与物联网: 面向智慧环境路线图 / (英) 尼克·贝瑟斯, (罗) 斯普莱恩·杜布里编著== Big data and internet of things: a roadmap for smart environments / Nik Bessis, Ciprian Dobre; 郭建胜 ... [等] 译 eng"	"北京: 国防工业出版社, 2017"	TP274/251	第二书库（六教一楼）	
978-7-302-48054-9	数据科学理论与实践== Data science theory and practice / 朝乐门编著 eng	"北京: 清华大学出版社, 2017"	TP274/252	第二书库（六教一楼）	
978-7-111-56327-3	"云数据管理== Data management in the cloud: 挑战与机遇 / (美) 迪卫艾肯特·阿格拉沃尔, (美) 苏迪皮托·达斯, (美) 阿姆鲁·埃尔·阿巴迪著; 马友忠, 孟小峰译 eng"	"北京: 机械工业出版社, 2017"	TP274/253	第二书库（六教一楼）	
978-7-5119-2577-0	数据挖掘技巧 / 本书编写组编写	"北京: 中国时代经济出版社, 2016"	TP274/254	第二书库（六教一楼）	
978-7-04-047797-9	数据质量征途== Journey to data quality / (美) Yang W. Lee ... [等]著; 黄伟 ... 等编译 eng	"北京: 高等教育出版社, 2017"	TP274/255	第二书库（六教一楼）	
978-7-302-46693-2	数据革命== Data revolution: 大数据价值实现方法、技术与案例 / 范煜著 eng	"北京: 清华大学出版社, 2017"	TP274/256	第二书库（六教一楼）	
978-7-115-46771-3	"Hadoop安全== Hadoop security: 大数据平台隐私保护 / (美) Ben Spivey, Joey Echeverria著; 赵双, 白波译 eng"	"北京: 人民邮电出版社, 2017"	TP274/257	第二书库（六教一楼）	
978-7-121-31591-6	"检测与转换技术 / 主编付华, 徐耀松, 初淑香"	"北京: 电子工业出版社, 2017"	TP274/258	第二书库（六教一楼）	
978-7-111-57612-9	"数据虚拟化== Data virtualization for business intelligence systems: 商务智能系统的数据架构与管理 / (荷) 李克 F. 范德兰斯著; 王志海, 韩萌, 孙艳歌等译 eng"	"北京: 机械工业出版社, 2017"	TP274/259	第二书库（六教一楼）	
978-7-121-31304-2	数据科学家养成手册 / 高扬编著	"北京: 电子工业出版社, 2017"	TP274/260	第二书库（六教一楼）	
978-7-111-56636-6	重新定义大数据 / 大数据战略重点实验室著; 连玉明主编	"北京: 机械工业出版社, 2017"	TP274/261	第二书库（六教一楼）	
978-7-121-31821-4	Hadoop大数据实战权威指南 / 黄东军编著	"北京: 电子工业出版社, 2017"	TP274/262	第二书库（六教一楼）	
978-7-118-11247-4	"大数据与智能计算 / (印) D.P. 阿奇利亚, 萨特旦安达·德忽尔, 叙格塔·桑亚尔编著== Computational intellingence for big data analysis: frontier advances and applications / D.P. Acharjya, Satchidananda Dehuri, Sugata Sanyal; 常雷雷 ... [等] 译 eng"	"北京: 国防工业出版社, 2017"	TP274/263	第二书库（六教一楼）	
978-7-115-45173-6	数据湖架构== Data lake architecture / (美) Bill Inmon著; 吴文磊译 eng	"北京: 人民邮电出版社, 2017"	TP274/264	第二书库（六教一楼）	
978-7-04-048348-2	大学计算机: 技术与应用实践 / 主编韩宪忠	"北京: 高等教育出版社, 2017"	TP3/1067	第二书库（六教一楼）	
978-7-111-56726-4	"伟大的计算原理== Great princip / (美) 彼得 J. 丹宁, (美) 克雷格 H. 马特尔著; 罗英伟 ... [等] 译 eng"	"北京: 机械工业出版社, 2017"	TP3/1068	第二书库（六教一楼）	
978-7-115-45765-3	计算思维的结构== The structure of computational thinking / 董荣胜著 eng	"北京: 人民邮电出版社, 2017"	TP3/1069	第二书库（六教一楼）	
978-7-111-57043-1	基于Proteus的计算机系统实验教程: 逻辑、组成原理、体系结构、微机接口 / 赖晓铮编著	"北京: 机械工业出版社, 2017"	TP3/1070	第二书库（六教一楼）	
978-7-04-048337-6	大学计算机: 计算与计算思维 / 韩宪忠 ... [等]编著	"北京: 高等教育出版社, 2017"	TP3/1071	第二书库（六教一楼）	
978-7-111-57444-6	"计算机科学与工程导论: 基于IoT和机器人的可视化编程实践方法== Introduction to computer science and engineering: practical programming method of visual programming based on IoT and robot / 陈以农, 陈文智, 韩德强著 eng"	"北京: 机械工业出版社, 2017"	TP3/1072	第二书库（六教一楼）	
978-7-111-56092-0	"算法基础 / (美) 罗德·斯蒂芬斯著== Essential algorithms: a practical approach to computer algorithms / Rod Stephens; 王宏志, 黎玲利译 eng"	"北京: 机械工业出版社, 2017"	TP301.6/108	第二书库（六教一楼）	
978-7-111-57297-8	算法设计与分析== Algorithm design and analysis / 黄宇编著 eng	"北京: 机械工业出版社, 2017"	TP301.6/109	第二书库（六教一楼）	
978-7-111-56222-1	"算法技术手册 / George T. Heineman, Gary Pollice, Stanley Selkow著; 杨晨, 曹如进译"	"北京: 机械工业出版社, 2017"	TP301.6/110	第二书库（六教一楼）	
978-7-111-57010-3	"逻辑与计算机设计基础== Logic and computer design fundamentals / (美) M. 莫里斯·马诺, (美) 查尔斯 R. 凯姆, (美) 汤姆·马丁著; 邝继顺 ... [等] 译 eng"	"北京: 机械工业出版社, 2017"	TP302.2/14	第二书库（六教一楼）	
978-7-121-32539-7	"计算机组成与结构 / 桂盛霖, 陈爱国, 肖堃编著"	"北京: 电子工业出版社, 2017"	TP303/121	第二书库（六教一楼）	
978-7-111-57978-6	计算机体系结构基础== Introduction to computer architecture / 胡伟武 ... [等] 著 eng	"北京: 机械工业出版社, 2017"	TP303/122	第二书库（六教一楼）	
978-7-302-46846-2	计算机信息安全技术 / 付永钢主编	"北京: 清华大学出版社, 2017"	TP309/124	第二书库（六教一楼）	
978-7-111-56605-2	信息安全风险评估手册 / 郭鑫编著	"北京: 机械工业出版社, 2017"	TP309/125	第二书库（六教一楼）	
978-7-115-46035-6	编程风格== Exercises in programming style 好代码的逻辑 / (美) Cristina Videira Lopes著; 顾中磊译 eng	"北京: 人民邮电出版社, 2017"	TP311.1/198	第二书库（六教一楼）	
978-7-111-57658-7	"数学与泛型编程== From mathematics to generic programming: 高效编程的奥秘 / (美) 亚历山大 A. 斯捷潘诺夫, 丹尼尔 E. 罗斯著; 爱飞翔译 eng"	"北京: 机械工业出版社, 2017"	TP311.1/199	第二书库（六教一楼）	
978-7-121-31119-2	触类旁通== Designing for touch: 多终端时代的触屏界面设计 / (美) Josh Clark著; C7210译 eng	"北京: 电子工业出版社, 2017"	TP311.1/200	第二书库（六教一楼）	
978-7-121-31334-9	不一样的UI设计师== Design out of the box / 静电编著 eng	"北京: 电子工业出版社, 2017"	TP311.1/201	第二书库（六教一楼）	
978-7-115-45923-7	程序员的算法趣题== Interesting algorithm puzzles for programmers / (日) 增井敏克著; 绝云译 eng	"北京: 人民邮电出版社, 2017"	TP311.1/202	第二书库（六教一楼）	
978-7-302-47650-4	循环冗余校验码 (CRC) 计算: C、VB、C51、ASM51编程实例== Cyclic redundancy check code calculation: using C、VB、C51 and ASM51 programming language / 杜树春编著 eng	"北京: 清华大学出版社, 2017"	TP311.1/203	第二书库（六教一楼）	
978-7-121-31773-6	UI设计必修课: 游戏+软件+网站+APP界面设计教程 / 高金山编著	"北京: 电子工业出版社, 2017"	TP311.1/204	第二书库（六教一楼）	
978-7-121-32409-3	网页UI与用户体验设计5要素 / 胡卫军编著	"北京: 电子工业出版社, 2017"	TP311.1/205	第二书库（六教一楼）	
978-7-5682-4168-7	"UI设计 / 主编高振清, 普星"	"北京: 北京理工大学出版社, 2017"	TP311.1/206	第二书库（六教一楼）	
978-7-111-57675-4	"OpenACC并行程序设计== Parallel programming with OpenACC: 性能优化实践指南 / (美) 罗布·法伯编著; 吴长江, 阚光远译 eng"	"北京: 机械工业出版社, 2017"	TP311.11/33	第二书库（六教一楼）	
978-7-115-46010-3	"数据结构习题解析与实验指导== The practice and experiment of data structure / 李冬梅, 张琪编著 eng"	"北京: 人民邮电出版社, 2017"	TP311.12/167	第二书库（六教一楼）	
978-7-5170-5336-1	"数据结构 (C语言版) 习题解答及实训指导 / 主编李根强, 谢月娥"	"北京: 中国水利水电出版社, 2017"	TP311.12/168	第二书库（六教一楼）	
978-7-302-45588-2	数据结构教程 / 李春葆主编; 尹为民 ... [等] 编著	"北京: 清华大学出版社, 2017"	TP311.12/169	第二书库（六教一楼）	
978-7-302-45586-8	数据结构教程 (第5版) 上机实验指导 / 李春葆主编; 尹为民 ... [等] 编著	"北京: 清华大学出版社, 2017"	TP311.12/170	第二书库（六教一楼）	
978-7-111-57937-3	"面向服务器平台的英特尔可信执行技术: 更安全的数据中心指南 / (美) 威廉·普拉尔, 詹姆斯·格林著== Intel trusted execution technology or server platrorms: a guide to more secure datacenters / William Fultral, James Greene; 张建标等译 eng"	"北京: 机械工业出版社, 2017"	TP311.13/371	第二书库（六教一楼）	
978-7-121-31201-4	深入理解Redis== Mastering redis / (美) Jeremy Nelson著; 汪佳南译 eng	"北京: 电子工业出版社, 2017"	TP311.13/372	第二书库（六教一楼）	
978-7-115-45581-9	数据建模经典教程== Data modeling made simple / (美) Steve Hoberman著; 丁永军译 eng	"北京: 人民邮电出版社, 2017"	TP311.13/373	第二书库（六教一楼）	
978-7-113-22557-5	Access数据库与VBA面向对象程序设计 / 黎升洪编著	"北京: 中国铁道出版社, 2017"	TP311.138AC/77	第二书库（六教一楼）	
978-7-302-47114-1	"中文版Access 2016数据库应用实用教程 / 程少丽, 李莉莉编著"	"北京: 清华大学出版社, 2017"	TP311.138AC/78	第二书库（六教一楼）	
978-7-115-46283-1	"Access 2010数据库基础与应用教程== Application tutorials on access 2010 / 陈薇薇, 冯莹莹, 巫张英编著 eng"	"北京: 人民邮电出版社, 2017"	TP311.138AC/79	第二书库（六教一楼）	
978-7-03-053881-9	"Visual FoxPro程序设计与SQL数据库应用实践教程 / 高昱, 姜雪, 黄和主编"	"北京: 科学出版社, 2017"	TP311.138FO/125	第二书库（六教一楼）	
978-7-5606-4567-4	Visual FoxPro数据库程序设计教程 / 康贤主编	"西安: 西安电子科技大学出版社, 2017"	TP311.138FO/126	第二书库（六教一楼）	
978-7-111-57339-5	Oracle高性能自动化运维== High-performance and automated operation for Oracle / 冷菠著 eng	"北京: 机械工业出版社, 2017"	TP311.138OR/125	第二书库（六教一楼）	
978-7-302-46897-4	"Oracle Database 12c Oracle RMAN备份与恢复 / (美) Robert G. Freeman, (美) Matthew Hart著; 李晓峰译"	"北京: 清华大学出版社, 2017"	TP311.138OR/126	第二书库（六教一楼）	
978-7-04-048126-6	"数据库原理及应用与实践== Application and practice of database principle: 基于SQL Server 2016 / 主编贾铁军, 谷伟 eng"	"北京: 高等教育出版社, 2017"	TP311.138SQ/310	第二书库（六教一楼）	
978-7-5646-3565-7	"数据库技术与应用教程: SQL Server 2014 / 主编蒋丽影, 李建东"	"徐州: 中国矿业大学出版社, 2017"	TP311.138SQ/311	第二书库（六教一楼）	
978-7-121-32189-4	"数据库管理与数据分析: SQL Server 2012+Tableau / 郭进, 吕峻闽, 徐鸿雁主编"	"北京: 电子工业出版社, 2017"	TP311.138SQ/312	第二书库（六教一楼）	
978-7-111-57131-5	"数据库原理及应用 SQL Server 2016 / 主编贾铁军, 徐方勤"	"北京: 机械工业出版社, 2017"	TP311.138SQ/313	第二书库（六教一楼）	
978-7-302-47335-0	"软件工程 / 李代平, 杨成义编著"	"北京: 清华大学出版社, 2017"	TP311.5/428	第二书库（六教一楼）	
978-7-113-19717-9	软件工程 / 陈永主编	"北京: 中国铁道出版社, 2017"	TP311.5/429	第二书库（六教一楼）	
978-7-115-46199-5	"软件的奥秘== The magic behind encryption, CGI: 加密、密码、压缩、搜索是如何工作的 / (美) V. Anton Spraul著; 解福祥译 eng"	"北京: 人民邮电出版社, 2017"	TP311.5/430	第二书库（六教一楼）	
978-7-111-56472-0	需求设计: 构建用户想要和需要的产品 / (英) 克里斯·布里顿著== Designing the requirements: building applications that the user wants and needs / Chris Britton; 爱飞翔译 eng	"北京: 机械工业出版社, 2017"	TP311.5/431	第二书库（六教一楼）	
978-7-302-47333-6	软件工程习题解答 / 李代平，杨成义编著	"北京: 清华大学出版社, 2017"	TP311.5/432	第二书库（六教一楼）	
978-7-302-47257-5	软件质量和测试 / 傅兵编著	"北京: 清华大学出版社, 2017"	TP311.5/433	第二书库（六教一楼）	
978-7-111-57381-4	"软件架构设计== Designing software architectures: 实用方法及实践 / (美) 温贝托·塞万提斯, 里克·卡斯曼著; 刘旭斌 ... [等] 译 eng"	"北京: 机械工业出版社, 2017"	TP311.5/434	第二书库（六教一楼）	
978-7-115-46776-8	修改软件的艺术== Beyond legacy code: 构建易维护代码的9条最佳实践 / David Scott Bernstein著; 李满庆译 eng	"北京: 人民邮电出版社, 2017"	TP311.52/214	第二书库（六教一楼）	
978-7-115-46556-6	知行合一== Unity of learning and doing: 实现价值驱动的敏捷和精益开发 / 丛斌著 eng	"北京: 人民邮电出版社, 2017"	TP311.52/215	第二书库（六教一楼）	
978-7-111-56938-1	"软件研发成本度量规范释义 / 北京软件造价评估技术创新联盟, 《软件研发成本度量规范释义》编委会编写"	"北京: 机械工业出版社, 2017"	TP311.52/216	第二书库（六教一楼）	
978-7-302-47388-6	"Vizard虚拟现实开发指南 / 安维华, 李晓鸥, 徐岩编著"	"北京: 清华大学出版社, 2017"	TP311.52/217	第二书库（六教一楼）	
978-7-115-46063-9	"macOS软件安全与逆向分析 / 丰生强, 邢俊杰著"	"北京: 人民邮电出版社, 2017"	TP311.52/218	第二书库（六教一楼）	
978-7-03-053785-0	.NET平台项目设计与开发 / 代劲主编	"北京: 科学出版社, 2017"	TP311.52/219	第二书库（六教一楼）	
978-7-302-47363-3	"软件测试技术 / 何春梅, 唐滔主编"	"北京: 清华大学出版社, 2017"	TP311.55/28	第二书库（六教一楼）	
978-7-121-30786-7	"质量全面管控: 从项目管理到容灾测试 / 葛长芝, 鲁盈盈, 欧仕强编著"	"北京: 电子工业出版社, 2017"	TP311.55/29	第二书库（六教一楼）	
978-7-115-45257-3	NLTK基础教程: 用NLTK和Python库构建机器学习应用 / (印) Nitin Hardeniya著; 凌杰译	"北京: 人民邮电出版社, 2017"	TP311.56/539	第二书库（六教一楼）	
978-7-121-32543-4	"LabVIEW宝典 / 陈树学, 刘萱编著"	"北京: 电子工业出版社, 2017"	TP311.56/540	第二书库（六教一楼）	
978-7-121-31124-6	LabVIEW快速入门与工程实例 / 曹丽英主编	"北京: 电子工业出版社, 2017"	TP311.56/541	第二书库（六教一楼）	
978-7-302-46683-3	"Python程序设计与算法基础教程 / 江红, 余青松主编"	"北京: 清华大学出版社, 2017"	TP311.56/542	第二书库（六教一楼）	
978-7-111-56940-4	Web测试囧事== Bug big bang in Web testing / 黄勇 ... [等] 著 eng	"北京: 机械工业出版社, 2017"	TP311.56/543	第二书库（六教一楼）	
978-7-111-57640-2	"Python数据分析实战== Python data analysis cookbook / (印) 伊凡·伊德里斯著; 冯博, 严嘉阳译 eng"	"北京: 机械工业出版社, 2017"	TP311.561/46	第二书库（六教一楼）	
978-7-111-56548-2	Python数据挖掘: 概念、方法与实践 / (美) 梅甘·斯夸尔著== Mastering data mining with Python: find patterns hidden in your data / Megan Squire; 姚军译 eng	"北京: 机械工业出版社, 2017"	TP311.561/47	第二书库（六教一楼）	
978-7-115-45919-0	"Python数据处理== Data wrangling with python / (美) Jacqueline Kazil, Katharine Jarmul著; 张亮, 吕家明译 eng"	"北京: 人民邮电出版社, 2017"	TP311.561/48	第二书库（六教一楼）	
978-7-121-31720-0	Python与机器学习实战: 决策树、集成学习、支持向量机与神经网络算法详解及编程实现 / 何宇健编著	"北京: 电子工业出版社, 2017"	TP311.561/49	第二书库（六教一楼）	
978-7-115-46306-7	"精通Git== Pro Git / (美) Scott Chacon, Ben Straub著; 门佳, 刘梓懿译 eng"	"北京: 人民邮电出版社, 2017"	TP311.561/50	第二书库（六教一楼）	
978-7-111-56945-9	机器学习系统设计== Designing machine learning systems with Python: Python语言实现 / (美) 戴维·朱利安著; 李洋译 eng	"北京: 机械工业出版社, 2017"	TP311.561/51	第二书库（六教一楼）	
