ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5198-0598-2	"企业物联网设计 / Dirk Slama ... [等] 著; 苏金国, 张伶等译"	"北京: 中国电力出版社, 2017"	F272.7/97	第一书库（综合图书馆）	
978-7-122-29994-9	"ERP沙盘模拟实训教程 / 韩洁, 陈明主编"	"北京: 化学工业出版社, 2017"	F272.7/98	第一书库（综合图书馆）	
978-7-121-31484-1	"商业的未来: 重布行业, 重构企业, 重塑自我 / (英) 马克·拉斯金诺, 格雷厄姆·沃勒著== Digital to the core: remastering leadership for your industry, your enterprise, and yourself / Mark Raskino, Graham Waller; 张帅, 李丹译 eng"	"北京: 电子工业出版社, 2017"	F272.7/99	第一书库（综合图书馆）	
978-7-5502-9546-9	10人以下小团队管理手册== 部下の力を引き出す10人までの人使い / (日) 堀之内克彦著; 程雨枫译 jpn	"北京: 北京联合出版公司, 2017"	F272.9/168	第一书库（综合图书馆）	
978-7-302-47206-3	企业公共关系案例解析== Case analysis of corporate public relations / 樊帅主编 eng	"北京: 清华大学出版社, 2017"	F272.9/169	第一书库（综合图书馆）	
978-7-5164-1477-4	"抱团打天下 / 金迪, 张建龄编著"	"北京: 企业管理出版社, 2017"	F272.9/170	第一书库（综合图书馆）	
978-7-5699-1196-1	"组织管理 / 顾彼思商学院, (日) 佐藤刚著; 胡静译"	"北京: 北京时代华文书局, 2017"	F272.9/171	第一书库（综合图书馆）	
978-7-5086-7284-7	让问题到你为止== Full engagement / (美) 博恩·崔西著; 周芳芳译 eng	"北京: 中信出版社, 2017"	F272.92/413	第一书库（综合图书馆）	
978-7-5086-7851-1	"包容性人才管理== Inclusive talent management: 面对多样性企业如何顺势而为管好人才 / (英) 斯蒂芬·弗罗斯特, (英) 丹尼·卡尔曼著; 晏和淘译 eng"	"北京: 中信出版集团股份有限公司, 2017"	F272.92/414	第一书库（综合图书馆）	
978-7-301-27635-8	"我们·他们: 如何与职场90后相处== Us vs. them: redefining the multi-generational workplace to inspire your employees to love your company, drive innovation, and embrace changer / (美) 杰夫·海文斯著; 布茂勇, 张西勇译 eng"	"北京: 北京大学出版社, 2017"	F272.92/415	第一书库（综合图书馆）	
978-7-5164-1470-5	好师傅这样当 好徒弟这么做 / 陈晓编著	"北京: 企业管理出版社, 2017"	F272.92/416	第一书库（综合图书馆）	
978-7-115-46455-2	培训课程开发实务手册 / 课思课程中心编著	"北京: 人民邮电出版社, 2017"	F272.921/45	第一书库（综合图书馆）	
978-7-111-57890-1	"一线主管培训TWI实施一本通: 营造技能为本的文化 / (美) 帕特里克·格劳普, (美) 罗伯特 J. 弗洛纳著== Implementing TWI: creating and managing a skills-based culture / Patrick Graupp, Robert J. Wrona; 陈琍 ... [等] 译 eng"	"北京: 机械工业出版社, 2017"	F272.921/46	第一书库（综合图书馆）	
978-7-5168-1409-3	稻盛和夫的论语 / (日) 皆木和义著; 郭勇译	"北京: 台海出版社, 2017"	F272/224	第一书库（综合图书馆）	
978-7-5164-1534-4	企业商学院: 让你的企业价值万亿 / 杜涛编著	"北京: 企业管理出版社, 2017"	F272/225	第一书库（综合图书馆）	
978-7-5596-0109-4	"商业的逻辑: 正和岛智库揭秘新经济大趋势 / 蓝妹妹静若, 王荣敏主编"	"北京: 北京联合出版公司, 2017"	F272/226	第一书库（综合图书馆）	
978-7-301-28503-9	"技术创业: 从创意到企业 / (美) 托马斯· H. 拜尔斯, 理查德·C.多尔夫, 安德鲁·J.尼尔森著; 陈劲, 李纪诊译"	"北京: 北京大学出版社, 2017"	F272/227	第一书库（综合图书馆）	
978-7-5086-7594-7	新管理革命: 知识经济如何重塑组织和管理 / (美) 戴维·布尔库什著== Under new management: how leading organizations are upending business as usual / David Burkus; 赵竞欧译 eng	"北京: 中信出版集团股份有限公司, 2017"	F272/228	第一书库（综合图书馆）	
978-7-04-047989-8	创新创业管理技术读本 / 关冬梅编著	"北京: 高等教育出版社, 2017"	F272/229	第一书库（综合图书馆）	
978-7-121-32249-5	CEO只做5件事 / (美) 马特·布隆伯格著== Startup CEO a field guide to scaling up your business / Matt Blumberg; 闾佳等译 eng	"北京: 电子工业出版社, 2017"	F272/230	第一书库（综合图书馆）	
978-7-5086-7809-2	格鲁夫给经理人的第一课: 英特尔创始人自述 / (美) 安迪·格鲁夫著== High output management / Andrew S. Grove; 巫宗融译 eng	"北京: 中信出版社, 2017"	F272/231	第一书库（综合图书馆）	
978-7-5699-1200-5	"逻辑思维 / 顾彼思商学院, (日) 嵨田毅著; 张雯译"	"北京: 北京时代华文书局, 2017"	F272/232	第一书库（综合图书馆）	
